Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,Hepatitis_B,Measles,BMI,Diphtheria,HIV/AIDS(),GDP,Schooling
75,16,0,945,96,0,64,96,10,,13
75,172,0,942,97,0,63,97,10,,13
75,167,0,950,96,0,63,98,20,,13
75,162,0,934,95,0,62,98,10,,13
75,161,0,919,98,0,61,99,20,,13
75,168,0,929,95,0,7,96,10,,13
75,167,0,1015,9,0,6,93,10,,13
74,167,0,1075,93,0,59,95,10,,13
74,171,0,1107,96,0,59,95,10,,12
74,172,0,1049,93,0,58,93,10,,12
74,174,0,1010,93,0,57,93,10,,12
73,189,0,1068,88,0,57,92,10,,12
73,19,0,1085,89,0,56,94,10,,12
73,189,0,1164,21,0,55,99,20,,12
73,192,0,1215,,0,54,99,10,,12
77,69,0,,98,0,64,98,10,22689,15
77,7,0,157,98,46,63,98,10,24983,15
77,7,0,165,99,0,62,99,10,251,15
77,71,0,170,99,0,62,99,10,23649,15
76,76,0,166,99,0,7,99,10,2281,14
76,73,0,193,99,0,6,99,10,2722,14
76,74,0,195,98,3,59,98,10,19357,14
76,76,0,200,97,2,59,97,10,2368,14
76,77,0,200,97,7,58,97,10,2977,14
76,79,0,210,98,3,57,98,10,1938,14
75,81,0,205,98,4,56,98,10,17959,14
75,83,0,216,98,11,56,98,10,15846,14
75,85,0,216,98,12,55,97,10,14222,14
75,87,0,199,98,8,55,98,10,1312,14
75,9,0,195,99,5,55,99,10,12868,13
75,92,0,215,97,6,55,97,10,13636,13
72,129,92,,97,240,18,97,10,121,10
71,132,98,1,97,289,18,97,10,185,10
71,135,104,1,96,237,17,96,10,952,10
77,137,111,1,94,1986,16,94,10,856,10
73,14,118,1,96,5625,16,96,10,836,9
70,142,126,1,94,788,15,94,10,758,9
70,144,135,1,97,718,15,97,10,681,8
69,147,144,1,96,2660,14,96,10,616,9
69,151,154,1,95,2924,14,94,10,542,9
68,152,164,1,86,6192,13,94,10,495,8
68,155,174,1,45,25934,13,93,10,484,8
67,158,185,1,11,9743,12,99,10,47,8
67,161,196,1,5,4067,12,87,10,433,8
66,164,207,1,,3484,11,83,10,5,8
66,168,219,1,,4414,2,85,10,43,8
65,173,231,1,,5098,1,82,10,46,7
76,98,0,,97,0,55,97,10,15558,15
75,1,0,882,94,0,54,94,10,15360,15
75,11,0,874,91,0,53,91,10,15473,15
75,12,0,861,87,0,52,87,10,15385,15
75,14,0,851,91,0,51,91,10,15534,16
75,16,0,841,86,0,6,86,10,1596,16
75,19,0,846,93,0,50,93,10,16523,16
74,111,0,895,85,0,49,85,10,1657,15
74,113,0,847,93,0,48,93,10,16462,15
74,115,0,839,84,0,48,84,10,15647,15
74,117,0,801,92,0,47,92,10,14224,15
74,119,0,768,93,0,46,93,20,12869,14
74,121,0,765,91,0,45,89,40,1229,14
74,123,0,759,66,0,45,87,80,11675,14
73,125,0,738,18,0,44,84,70,11514,14
73,127,0,743,,0,43,93,90,11568,14
72,196,0,,99,2,62,99,10,5949,16
72,199,0,1394,97,64,62,97,10,8318,16
72,23,0,1466,98,16,61,98,10,7979,16
72,194,0,1635,97,10,7,98,10,694,16
72,232,0,1731,98,50,60,98,10,6520,16
73,222,0,1444,96,1,59,98,10,63,16
70,226,0,1409,98,0,59,96,10,5176,15
70,224,1,1467,98,0,58,97,10,6376,15
70,226,1,1422,91,1,58,95,10,4735,15
69,243,1,1260,98,149,57,99,10,3848,15
68,252,1,1101,99,1,57,99,10,3127,14
68,247,1,1205,99,2,56,99,10,2378,14
68,253,1,1117,56,21,56,5,10,1820,14
67,262,1,1223,99,14,55,99,10,1479,14
68,254,1,1074,93,45,55,99,10,1244,13
68,247,1,1298,7,21,54,99,10,1276,13
81,74,0,,98,47,64,99,10,4357,17
89,76,0,1260,98,70,63,99,10,47439,16
87,77,0,1177,98,39,63,99,10,4651,16
83,78,0,1008,98,109,63,99,10,4475,16
83,8,0,1011,97,576,62,98,10,4773,16
80,81,0,1022,97,40,62,98,10,4438,16
80,85,0,1005,97,33,62,98,10,4489,16
80,87,0,1047,98,98,61,99,10,48425,16
80,86,0,1025,94,64,7,98,10,4444,16
79,85,0,1098,94,15,7,98,10,38852,16
79,89,0,1227,77,26,6,97,10,36967,16
79,91,1,1205,64,61,60,95,10,35590,19
78,95,0,1128,64,44,59,95,10,3744,19
78,99,1,1129,6,0,59,95,10,2552,19
78,1,1,1101,6,83,59,95,10,23122,18
78,11,1,1121,6,0,58,95,10,2327,18
71,175,0,,94,0,6,94,20,4850,13
70,177,0,658,95,0,5,95,20,4852,13
70,18,0,656,95,0,49,95,20,4689,13
69,189,0,666,98,0,49,98,10,4674,13
69,188,0,664,95,0,48,95,50,4516,12
70,186,0,676,96,0,47,96,20,4344,12
70,184,0,685,97,0,46,97,30,4259,13
70,181,0,722,94,0,46,94,10,447,13
70,181,0,724,96,0,45,96,60,4325,13
69,184,0,648,98,0,44,98,60,4187,12
69,191,0,625,96,0,44,96,80,3933,13
69,197,0,620,97,0,43,97,80,3832,13
68,21,0,567,96,0,43,96,150,3680,12
69,199,0,499,97,0,42,89,10,3557,12
68,21,0,490,96,0,41,96,40,3419,12
68,196,0,479,76,0,5,91,30,3364,12
60,249,25,,82,55,26,82,100,784,11
60,252,25,1,78,786,25,78,110,944,11
60,251,25,1,77,637,25,77,120,915,10
59,251,25,1,8,288,24,8,130,838,10
59,251,25,140,75,426,24,75,140,826,10
59,254,25,133,76,392,23,76,140,758,10
58,259,25,116,79,1461,23,79,160,793,9
58,278,25,128,75,928,22,75,180,82,9
57,283,25,112,82,341,22,82,200,77,9
57,284,25,119,74,176,21,74,200,626,9
57,285,25,113,7,210,3,7,210,62,9
56,285,25,115,75,262,2,72,210,583,8
56,285,25,135,73,217,20,73,210,519,8
56,283,25,123,15,1588,19,75,210,419,7
56,281,25,129,,5859,19,76,210,379,7
55,279,25,134,,4244,18,78,200,374,6
70,211,0,,99,11,25,99,50,2614,13
69,216,0,1,99,0,24,99,50,2523,13
69,219,0,1,97,0,23,97,60,236,13
69,223,0,1,97,1,22,97,60,2423,12
68,225,0,23,95,10,21,95,50,2458,12
68,228,1,28,91,21,2,91,50,2179,11
67,232,1,17,93,6,20,93,40,177,11
67,234,1,21,96,7,19,96,40,1795,11
67,238,1,16,95,11,18,95,30,1741,10
66,245,1,29,95,2,17,95,30,1335,10
65,254,1,73,95,11,17,95,30,1248,9
64,263,1,96,89,3,16,89,30,197,9
63,273,1,52,95,0,16,95,20,998,8
63,282,1,29,83,27,15,86,10,886,8
62,29,1,14,89,756,14,88,10,88,8
62,312,1,17,98,418,14,92,10,766,7
77,186,8,,99,0,53,99,10,,14
74,189,8,362,98,0,52,98,10,,14
71,192,8,378,94,0,51,94,10,,14
70,194,8,389,93,0,6,93,10,,14
69,198,9,393,95,0,50,95,20,,14
69,22,9,395,91,0,49,91,20,,14
68,27,10,387,93,0,49,93,20,,14
67,211,10,377,88,0,48,88,20,,14
67,216,11,347,84,0,47,84,20,,14
66,219,11,323,83,0,47,83,20,,14
66,222,12,286,85,0,46,85,20,,14
65,226,12,266,84,0,45,84,20,,15
65,23,13,237,8,0,45,88,20,,14
64,234,14,226,77,0,44,77,10,,14
63,238,14,220,77,0,43,71,10,,14
63,243,15,232,77,122,43,75,10,,13
77,88,0,,82,1677,56,82,10,4575,14
77,89,0,403,89,3000,55,86,10,5194,14
77,9,0,412,91,0,55,89,10,536,14
77,92,0,461,92,22,54,92,10,4717,14
77,92,0,464,88,10,54,88,10,55,13
76,94,0,454,89,45,53,89,10,4611,13
76,97,0,475,9,22,53,9,10,4698,13
76,98,0,513,88,8,52,91,10,575,13
75,16,0,516,94,166,52,95,10,418,13
76,1,0,482,9,17,51,87,10,344,13
75,12,0,456,93,23,6,93,10,2968,13
76,99,0,425,36,28,50,84,10,266,12
75,12,0,414,,18,49,87,10,2215,12
75,11,0,384,,28,49,8,10,1762,12
75,113,0,385,,0,48,91,10,1524,12
75,116,0,364,,43,48,85,10,1462,0
66,256,2,,95,0,38,95,220,6533,13
65,268,2,1,95,1,37,95,230,7498,13
64,286,2,1,95,1,37,95,280,78,13
63,3,2,1,95,7,36,95,440,729,13
62,325,2,576,95,8,36,95,550,7645,12
61,349,2,599,95,853,35,95,620,6346,12
59,393,2,501,94,184,35,96,900,5186,12
58,427,2,656,94,0,34,96,1270,5623,12
57,436,2,621,93,1,34,96,1340,5714,12
55,491,2,645,93,6,33,96,1440,5375,12
52,566,2,637,92,5,33,96,2060,5351,12
48,652,2,490,91,1,32,96,2840,4897,12
46,693,2,551,9,59,32,96,3190,4164,12
46,699,2,641,88,7,31,97,3460,356,12
47,679,2,548,87,1,4,97,3720,3129,12
48,647,2,537,86,2672,30,97,3880,3350,12
75,142,42,,96,214,56,96,10,8757,15
75,144,44,732,96,876,55,93,10,1227,15
75,146,46,724,96,220,55,97,10,12217,14
75,148,49,755,96,2,54,95,10,12291,14
74,152,51,758,98,43,53,99,10,13167,14
74,154,54,752,96,68,52,99,10,11224,14
74,157,57,733,99,0,51,99,10,8553,14
73,158,61,721,96,0,5,99,10,8788,13
73,159,65,719,99,0,49,99,10,7314,14
73,161,70,710,99,57,49,99,10,586,14
73,163,75,697,98,6,48,99,10,477,14
72,17,81,685,96,0,47,99,10,3623,14
72,172,88,695,97,2,46,99,10,360,15
71,176,95,700,92,1,45,99,10,2820,15
71,179,103,713,91,1,45,98,10,3147,14
75,183,111,726,94,36,44,98,10,3739,14
78,78,0,,99,4,41,99,10,3968,15
78,8,0,1,99,1,4,99,10,4160,15
77,84,0,1,98,0,39,99,10,44597,15
78,79,0,1,99,1,38,99,10,47651,14
77,79,0,97,93,4,37,97,10,4717,14
77,79,0,88,96,0,36,95,10,35268,14
77,88,0,25,96,2,35,99,10,27965,14
77,84,0,67,96,3,34,98,10,37951,14
76,1,0,85,97,0,33,99,10,32672,14
76,93,0,67,99,0,32,97,10,399,14
76,92,0,16,99,9,31,94,10,2612,14
76,89,0,11,99,16,3,92,10,21897,14
76,89,0,12,99,24,29,92,10,18556,13
75,95,0,13,99,0,28,94,10,16846,13
75,19,0,47,99,11,27,97,10,16468,13
74,16,0,37,99,42,26,99,10,188,13
75,137,0,,92,0,66,91,10,6993,15
74,138,1,1203,95,0,65,88,10,7853,15
74,14,1,1206,95,14,65,95,10,7675,14
74,139,1,1099,95,1,64,95,10,7378,14
74,144,1,1067,96,157,63,95,10,7814,14
73,147,1,1080,95,22004,63,94,10,6843,14
73,152,1,1093,96,2249,62,94,10,6956,14
73,155,1,1098,96,1,62,95,10,7296,14
73,157,1,1089,95,1,7,95,10,5933,14
72,161,1,1039,96,1,6,95,10,4513,14
72,16,1,1048,96,3,60,96,10,3894,14
72,157,1,1096,94,0,59,95,10,3382,13
72,155,1,1119,96,0,59,96,10,271,13
72,157,1,1020,88,0,58,93,10,288,13
72,16,1,1072,93,8,58,94,10,1765,13
71,163,1,969,94,46,57,93,10,169,13
60,26,38,,91,99,19,91,60,616,8
59,268,39,1,91,343,19,91,60,75,8
59,27,40,464,88,375,18,88,70,699,8
59,271,41,475,9,7362,18,9,80,674,7
58,275,42,451,91,860,17,91,90,667,7
58,279,43,455,91,2511,17,91,100,575,6
57,283,44,455,92,54118,16,92,110,553,6
56,288,45,450,93,395,16,93,150,570,5
55,293,46,458,89,12,15,89,170,475,5
54,32,47,473,76,125,15,86,200,423,5
53,313,48,488,,253,14,82,230,47,4
52,323,49,454,,77,14,79,250,371,4
52,332,49,458,,2946,13,79,290,332,4
51,338,49,453,,1744,13,69,320,27,4
56,344,48,456,,4174,13,62,360,235,4
51,348,48,371,,6074,12,45,400,226,3
60,288,21,,94,9,19,94,70,34,11
59,297,22,1,95,0,18,95,70,313,11
59,33,22,1,96,0,18,96,100,283,11
58,312,22,1,96,49,17,96,120,265,10
57,321,22,416,96,129,17,96,150,26,10
57,33,23,416,96,495,16,96,190,231,9
56,338,23,405,94,305,16,94,240,25,9
55,35,23,433,92,173,15,92,290,196,8
55,355,24,454,99,43,15,99,340,18,7
54,361,24,450,92,784,15,92,380,166,6
53,369,24,554,87,0,14,87,430,16,6
53,378,24,572,83,2,14,83,480,127,5
52,387,24,584,,224,14,82,510,113,5
52,387,24,598,,1016,13,81,520,122,4
51,385,25,609,,0,13,81,530,134,5
58,386,25,661,,18363,13,8,520,136,5
53,397,57,,83,65,28,83,190,,
53,47,58,1,76,50,27,76,200,,
52,412,59,315,8,48,27,8,240,,
52,415,59,324,82,137,26,82,290,,
52,419,60,313,62,628,26,62,330,,
52,417,60,315,85,441,25,85,330,,
51,426,60,292,81,183,24,81,370,,
54,437,60,269,74,12,24,74,410,,
50,443,61,258,76,5,23,76,530,,
49,452,62,265,77,11,23,77,580,,
49,466,63,311,76,115,22,76,610,,
48,472,64,308,67,3466,22,67,650,,
48,473,64,312,63,4770,3,61,670,,
48,473,65,313,48,5882,2,64,690,,
48,467,65,315,1,5790,20,66,700,,
48,461,67,345,,5729,19,65,710,,
73,114,0,,96,0,31,93,20,2954,14
73,117,0,1,97,0,4,95,20,3530,14
73,12,0,1,94,0,30,93,20,3559,14
73,121,0,1,94,0,29,94,30,348,13
73,122,0,507,9,0,28,9,30,367,13
73,123,0,475,98,0,28,99,40,3313,13
72,124,0,445,98,0,27,99,40,3445,12
72,124,0,416,98,0,26,99,40,3639,12
72,126,0,528,96,0,26,98,60,3112,12
72,129,0,425,95,0,25,96,60,234,12
72,134,0,426,93,0,24,95,80,248,11
71,14,0,419,91,0,24,93,80,1976,11
71,144,0,416,66,0,23,92,90,1769,11
77,148,0,382,4,0,23,91,80,1374,11
73,152,0,381,,0,22,9,80,1269,11
70,155,0,349,,2,22,9,80,1239,11
69,174,10,,89,0,20,89,20,1163,11
68,179,11,1,88,0,19,88,20,199,11
68,183,11,1,83,0,18,83,20,128,11
67,186,12,1,86,15,18,86,30,95,11
67,19,13,212,88,722,17,88,30,882,11
67,192,14,220,89,1156,16,89,50,786,11
66,195,15,213,92,4779,16,94,60,738,11
66,199,16,224,91,4211,15,91,70,746,11
65,24,16,208,82,394,15,82,90,632,10
64,216,17,203,8,188,14,8,110,540,10
63,234,18,199,,264,14,82,140,474,10
62,253,19,138,,352,14,85,170,49,10
63,268,21,144,,653,13,69,190,362,9
59,273,23,143,,1361,13,54,210,340,8
59,273,25,171,,3761,12,6,220,321,8
58,274,27,151,,12237,12,59,210,4,7
57,357,45,,84,1809,29,84,350,1244,10
57,366,47,1,87,831,28,87,370,1441,10
56,364,48,1,89,760,28,89,400,1365,10
56,369,50,1,85,609,27,85,460,1256,10
56,371,51,619,82,504,27,82,490,1296,10
55,37,53,615,84,240,26,84,550,1183,10
55,373,54,589,8,251,25,8,630,123,9
54,382,56,590,84,495,25,84,670,1234,9
54,395,57,544,82,100,24,82,700,112,8
53,394,58,522,81,196,24,81,720,13,8
53,4,58,503,79,605,23,8,740,952,8
52,412,59,471,,358,23,73,750,93,8
52,412,60,464,,899,22,73,770,825,8
52,47,60,458,,1448,22,66,780,676,8
52,41,61,443,,23934,21,63,790,615,7
51,394,62,391,,14629,3,62,770,68,7
82,64,2,,55,195,67,91,10,43316,16
82,65,2,810,55,418,66,91,10,544,16
82,67,2,820,55,83,66,91,10,52414,16
82,68,2,830,7,10,65,95,10,52497,16
82,68,2,820,7,803,65,87,10,5282,16
81,7,2,840,56,99,64,89,10,47447,16
81,72,2,840,42,14,64,91,10,4773,16
87,74,2,830,28,62,63,92,10,46596,16
85,74,2,830,14,101,63,94,10,44545,16
85,75,2,820,14,13,62,95,10,4387,16
81,76,2,800,14,6,61,93,10,36190,16
80,77,2,780,14,7,7,91,10,31980,16
80,78,2,770,14,15,6,91,10,28172,16
80,79,2,770,,6,59,88,10,24168,16
79,8,2,760,,34,59,89,10,23692,16
79,82,2,760,,206,58,89,10,24124,16
53,397,15,,47,150,23,47,440,348,7
58,437,15,1,47,210,22,47,450,377,7
50,451,16,1,23,596,22,23,510,337,7
53,439,16,1,47,141,21,47,510,486,7
50,443,16,166,47,679,3,47,580,494,7
49,446,17,167,45,2,2,45,660,446,7
49,453,17,156,42,11,20,42,730,450,6
48,477,17,152,,12,19,45,830,457,6
47,495,17,150,,49,19,48,900,397,6
46,56,17,154,,3,19,51,1000,348,6
46,511,17,150,,471,18,54,1120,327,6
46,512,17,150,,1233,18,51,1200,313,6
46,51,17,149,,652,18,47,1280,286,6
46,58,17,147,,938,17,44,1340,254,5
46,54,17,152,,2837,17,4,1390,243,5
46,49,16,151,,3207,17,37,1430,244,5
53,356,46,,46,418,19,46,280,777,7
53,362,46,1,37,1275,19,37,290,126,7
52,366,46,64,39,226,18,39,310,986,7
52,367,46,62,4,120,18,4,360,973,7
52,365,46,56,33,8650,18,33,390,989,7
51,364,46,50,39,194,17,39,410,897,7
57,37,46,47,24,165,17,24,440,84,6
50,394,46,45,17,63,16,19,470,930,6
49,394,46,42,,441,16,28,490,82,6
49,414,45,41,,1594,16,4,510,712,6
49,46,45,42,,2,15,25,520,66,6
49,45,44,34,,10324,15,21,520,455,6
48,43,44,42,,15801,15,23,510,293,5
48,43,43,36,,7277,14,25,500,23,5
48,4,42,30,,24908,14,26,480,197,5
48,44,41,25,,3546,14,36,460,166,5
85,82,2,,97,9,64,96,10,13653,16
83,83,2,716,95,0,63,95,10,14817,16
81,84,2,720,9,0,63,91,10,15941,16
80,84,2,676,9,0,62,9,10,15432,16
80,86,2,726,94,6,61,94,10,1476,15
79,89,2,793,92,0,7,92,10,1286,15
79,91,2,767,94,1,60,94,10,1243,15
80,88,2,731,95,0,59,95,10,1781,15
79,9,2,739,92,0,59,96,10,1527,15
79,91,2,733,95,0,58,94,10,9485,15
78,93,2,757,,0,57,91,10,7615,15
78,97,2,632,,0,57,93,10,622,14
78,1,2,637,,1,56,96,10,4788,14
78,11,2,606,,0,55,97,10,4464,14
77,16,2,610,,0,55,97,10,4596,14
77,13,2,624,,0,54,91,10,511,14
76,85,157,,99,42361,33,99,10,869,14
76,86,171,578,99,52628,32,99,10,7684,13
76,88,185,579,99,26883,4,99,10,778,13
75,89,201,574,99,6183,3,99,10,6338,12
75,91,215,563,99,9943,29,99,10,5634,13
75,92,231,575,99,38159,28,99,10,457,13
75,93,248,488,99,52461,27,99,10,3838,12
75,97,266,427,95,131441,27,97,10,3471,12
74,96,285,388,92,109023,26,93,10,2695,11
74,98,307,328,91,99602,25,93,10,299,11
74,99,332,292,84,124219,24,87,10,1753,11
74,11,360,304,79,70549,23,87,10,159,10
73,13,391,296,75,71879,23,86,10,1289,10
73,16,422,291,7,58341,22,86,10,1149,10
72,11,457,284,65,88962,21,86,10,153,10
72,115,490,306,6,71093,3,85,10,959,10
75,143,10,,91,1,58,91,10,645,14
75,144,11,438,9,0,57,9,10,7913,14
74,145,11,441,91,1,56,91,10,84,13
74,143,11,444,92,1,56,91,10,7885,13
74,144,12,437,85,6,55,85,10,7228,13
74,15,12,428,88,0,54,88,10,626,13
74,15,13,434,92,0,54,92,10,5148,12
74,146,14,445,92,0,53,92,10,5434,12
74,144,14,466,93,0,52,93,10,4674,12
73,147,15,453,93,0,51,93,10,380,12
73,144,15,438,93,0,6,93,10,3386,11
73,148,16,426,89,0,50,89,10,274,11
72,15,16,425,92,0,49,92,10,2246,12
72,163,17,445,78,139,48,81,10,2356,12
72,165,17,443,8,3,48,8,10,2396,11
71,167,18,466,78,1,47,79,10,2472,11
64,227,1,,91,0,24,91,80,728,11
63,23,1,1,88,0,24,87,80,853,11
63,233,1,1,88,0,23,87,80,834,11
63,237,2,1,89,1,23,86,80,789,11
62,241,2,12,83,3,22,83,20,830,11
62,246,2,15,74,0,22,74,10,769,11
61,251,2,17,83,1,21,83,10,779,10
61,255,2,12,81,0,3,81,10,796,10
66,259,2,16,75,0,2,75,10,73,10
63,262,2,25,69,85,20,69,10,648,10
60,266,2,24,68,912,19,68,10,622,10
60,269,2,27,77,0,19,76,10,616,10
60,271,2,26,28,0,18,8,10,545,9
60,271,2,8,,0,18,89,10,433,9
60,272,1,8,,0,18,7,10,396,9
60,272,1,9,,0,17,7,10,376,8
65,267,7,,8,1359,27,8,280,,11
64,275,7,1,9,71,27,9,300,,11
64,274,7,1,85,124,26,85,300,,11
64,273,7,1,62,260,26,85,330,,10
63,285,7,382,7,315,25,82,350,,11
62,298,7,353,74,4,25,74,380,,11
